TP,FP,FN,TN,Precision,Recall,F1,IoU,Accuracy,Image,Inference_ms
3098,25073,521,144364,0.10997124702669421,0.8560375794181808,0.19490403770239315,0.10797434825000705,0.8521056767751479,2015.rf.7ace4a935989f5dd884bd52642f0bcdd.jpg,4.6928999945521355
2640,14254,147,156015,0.1562684976905631,0.9472551129907695,0.2682790265473834,0.15492048588606935,0.916784162352071,2026.rf.30a92a40e9e192eb71ac0461019aea44.jpg,5.109199992148206
1907,179,2580,168390,0.914189836964804,0.42500557164196556,0.5802525049575689,0.4087012430259601,0.9840571838017751,2043.rf.37ea25ead4d12143a2825d97dbb5c6a5.jpg,2.004999987548217
2150,34351,30,136525,0.0589024958218709,0.9862385320648515,0.11116567794395378,0.05885412389461319,0.8013302052514792,2064.rf.f9f37327dfaaa571b91ccc5d25cc8039.jpg,3.8773999840486795
2654,199,2020,168183,0.930248860815624,0.5678219939972653,0.7051945855635214,0.5446336958640543,0.9871775610207101,2067.rf.23ed68b28ea7c5e4cbfb234ffa9702ea.jpg,1.9696000090334564
2319,269,373,170095,0.8960587325774321,0.8614413075460089,0.8784090408952193,0.7831813576229929,0.9962902181952663,2084.rf.950ff4fcd9bc177e7831cb4c9a2dd6eb.jpg,2.2418999869842082
2933,81897,89,88137,0.03457503241773597,0.9705493050638468,0.06677138160061598,0.03453879579359797,0.5262458394970414,2091.rf.ab9d969f82e8610c30ec3f7576494f44.jpg,5.0592000188771635
1171,690,347,170848,0.6292315958823625,0.7714097496198017,0.6931044192519312,0.5303442028745315,0.9940077200443787,2137.rf.44786d7aeaf45f9497f47125a5bab284.jpg,2.2561999794561416
3358,295,1074,168329,0.9192444565858406,0.7576714801273089,0.8306740382605777,0.7103871377044556,0.9920892659023669,2147.rf.68491b477ce9af3d84c550103dd511e3.jpg,2.762099989922717
375,329,1063,171289,0.5326704544697911,0.26077885950898616,0.3501400118608719,0.21222410864673322,0.9919563609467456,2197.rf.b97a6e0452cf8a431fdcb24bfb4d643d.jpg,2.315299992915243
2025,7570,297,163164,0.21104742052932726,0.8720930232182562,0.3398506021665968,0.20471087747467942,0.9545407267011834,2205.rf.eaf969e5ee1bad463953679d0f0a317f.jpg,4.297299979953095
2130,350,1384,169192,0.8588709677073036,0.6061468411893527,0.7107106621749133,0.5512422360105786,0.9899801220414202,2222.rf.bfd72b1a6235ed53983e11289c619b4e.jpg,2.071599999908358
2422,636,1647,168351,0.7920209286856763,0.5952322437799157,0.679668815867105,0.5147715196489953,0.986807738535503,2232.rf.93366df80c896bda322de47beba47441.jpg,2.2114000166766346
1105,16045,74,155832,0.06443148688009077,0.9372349447890386,0.12057394180498532,0.06415466790487602,0.9068567400147929,2233.rf.48068254cb62ce6f233708947ac13b1c.jpg,3.8269000069703907
612,6016,6,166422,0.09233554616637997,0.9902912619756811,0.1689207682732372,0.09225203496996907,0.9652020155325444,2240.rf.66f2163089851cb1d7874b913e592b94.jpg,3.58099999721162
1197,412,8,171439,0.7439403355659453,0.9933609957681857,0.8507462196268406,0.7402597402139603,0.9975730399408284,2243.rf.97ce3609d517af6979f6d5db3295814f.jpg,2.1667999972123653
3857,5298,642,163259,0.4212998361505046,0.8573016225637409,0.5649626041139312,0.39369194651022055,0.965675850591716,2252.rf.87849e818065fa8392978ab64926d339.jpg,3.236699994886294
2224,532,502,169798,0.8069666182580927,0.8158473954212823,0.8113826570131246,0.6826273787390231,0.9940250554733728,2271.rf.8da6d46618460757719f6df2f8d89297.jpg,2.98839999595657
1357,1754,445,169500,0.43619414977704296,0.7530521642201413,0.5524119217744294,0.3816085489206522,0.9872931305473372,2274.rf.5712706f169ad5ab788f546227533d28.jpg,2.14239998604171
1382,688,313,170673,0.6676328502092932,0.8153392329902455,0.734130096539367,0.5799412505002123,0.9942157451923077,2275.rf.586655e669fa91476d091094ff24d359.jpg,2.4744000111240894
310,31399,7302,134045,0.009776404175439854,0.040725170782439236,0.015767624737793882,0.007946476634774944,0.7763671875,2323.rf.06768caef93b3a44d3c59325a03230eb.jpg,5.0543000106699765
